Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
ORW.1993.a.2817,ORW   1993 A   2817 ,1,"The evolution of British policy towards Indian politics, 188","Peter  Robb, (Peter G.) 00021223649",1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW 1993.b.9,ORW   1993 B      9 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Full,0
ORW.1994.a.119,ORW   1994 A    119 ,1,"Acts of the Fifth International Congress of Coptic Studies,",International Congress of Coptic Studi 00021231695,1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.125,ORW   1994 A    125 ,1,"Dance, drama, and theatre in Thailand : the process of devel","Mattani Mojdara Rutnin, 1937- 00021230412",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.2396,ORW   1994 A   2396 ,1,Minorities and the destruction of the Ottoman Empire / Sal _,"Salahi Ramadan  Sonyel, 1932- 00021219337",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.1675,ORW   1994 A   1675 ,1,"Japanese information in science, technology, and commerce :",International Conference on Japanese Information i,1990,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.1606,ORW   1994 A   1606 ,1,Women in the Indian parliament : a critical study of their r,"J. K.  Chopra, (Joginder Kumar) 00021231248",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.1272,ORW   1994 A   1272 ,1,"Life, teachings & writings of Swami Rama Tirtha / Prem Lata.","Prem Lata, 1928- 00021232931",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.1210,ORW   1994 A   1210 ,1,Va_stu-S_a_stra.,"Dvijendra Nath  Shukla, 1916- 00021228633",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.1204,ORW   1994 A   1204 ,1,"Punjabi, Urdu, English in Pakistan : a sociolinguistic study",Sabiha  Mansoor 00021236982,1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.961,ORW   1994 A    961 ,1,The soiled border = Maila anchal / by Phanishwar Nath Renu ;,Ren_u. 00021232950,1991,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.950,ORW   1994 A    950 ,1,Judicial activism and constitutional democracy in India / T.,"T. R.  Andhyarujina, (Tehmtan R.) 00021228688",1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.910,ORW   1994 A    910 ,1,The marginal men : the refugees and the left political syndr,Prafulla K.  Chakrabarti 00021238056,1990,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.864,ORW   1994 A    864 ,1,Leaves from the Bodhi tree : the art of Pa_la India (8th-12t,Susan L.  Huntington 00021226802,1990,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.643,ORW   1994 A    643 ,1,Japanese book illustration /,"Brown, Yu-Ying.",1988,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW1994.a.288.2,ORW   1994 A    288       2 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,,0
ORW1994.a.288,ORW   1994 A    288 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Full,0
ORW.1994.a.281,ORW   1994 A    281 ,1,"Independence and democracy in Burma, 1945-1952 : the turbule","Balwant  Singh, 1919- 00021226124",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1994.a.192,ORW   1994 A    192 ,1,The book most comprehensive in knowledge on precious stones,"Muh_ammad ibn Ah_mad  Bi_ru_ni_, 973?- 00021223734",1989,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1992.c.26,ORW   1992 C     26 ,1,"Les voyageurs dans l'Empire Ottoman, XIVe-XVIe sie_cles : bi","Stefanos  Yerasimos, 1942-2005. 00021234076",1991,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1992.a.2345,ORW   1992 A   2345 ,1,Travels into Bokhara :,"Burnes, Alexander.",1992,0,3,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1995.a.13,ORW   1995 A     13 ,1,The broken seals : part one of The marshes of Mount Liang /,"Nai'an  Shi, approximately 1290-approx 00021234137",1994,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1991.a.469,ORW   1991 A    469 ,1,The Sentinelese / T. N. Pandit.,"T. N.  Pandit, (Triloki Nath), 1934- 00021226191",1990,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1991.a.1550,ORW   1991 A   1550 ,1,The seven great untenables : Sapta-vidha_ anupapatti / John,"John  Grimes, 1948- 00021237087",1990,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
