Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
OMS/Or 673,OMS/OR    673 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 714,OMS/OR    714 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 718,OMS/OR    718 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 721,OMS/OR    721 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 739,OMS/OR    739 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 557,OMS/OR    557 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 518,OMS/OR    518 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 516,OMS/OR    516 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 515,OMS/OR    515 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 511,OMS/OR    511 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 487,OMS/OR    487 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add 16200,OMS/ADD  16200 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 751,OMS/OR    751 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 790,OMS/OR    790 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 791,OMS/OR    791 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11272,OMS/OR  11272 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.13938,OMS/OR  13938 ,1,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11172,OMS/OR  11172 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.2165,OMS/OR   2165 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 8192,OMS/OR   8192 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 8159,OMS/OR   8159 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 7616,OMS/OR   7616 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.7238,OMS/OR   7238 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.7094,OMS/OR   7094 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 6902,OMS/OR   6902 ,1,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 6902,OMS/OR   6902 ,1,Folio 163 verso,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 6814/1,OMS/OR   6814 /      1 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 5982,OMS/OR   5982 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 10247,OMS/OR  10247 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 5340 A,OMS/OR   5340 A,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.2626 ,OMS/OR   2626 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 2083,OMS/OR   2083 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.13192,OMS/OR  13192 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 1317,OMS/OR   1317 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 826,OMS/OR    826 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 784,OMS/OR    784 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 775,OMS/OR    775 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 774,OMS/OR    774 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.744,OMS/OR    744 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 743,OMS/OR    743 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 733,OMS/OR    733 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.728,OMS/OR    728 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/OR .715,OMS/OR    715 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 711,OMS/OR    711 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 699,OMS/OR    699 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Sloane 3584,OMS/SLOANE   3584 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 5426,OMS/OR   5426 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 10646,OMS/OR  10646 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 818,OMS/OR    818 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 6682,OMS/OR   6682 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.9798,OMS/OR   9798 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
